Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28
Valparaiso,05,Rinconada,05303,11263.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,15.0,18.0,15.0,19.0,20.0,23.0,15.0,14.0,1.0
Valparaiso,05,San Antonio,05601,96761.0,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,22.0,38.0,69.0,61.0,101.0,95.0,137.0,143.0,121.0,94.0,89.0,67.0,20.0
Valparaiso,05,San Esteban,05304,20643.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,7.0,3.0,10.0,16.0,32.0,19.0,20.0,29.0,23.0,5.0
Valparaiso,05,San Felipe,05701,83494.0,0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,6.0,19.0,60.0,70.0,116.0,184.0,177.0,114.0,128.0,77.0,16.0
Valparaiso,05,Santa Maria,05706,16367.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,3.0,5.0,8.0,13.0,18.0,30.0,34.0,21.0,25.0,1.0
Valparaiso,05,Santo Domingo,05606,11934.0,0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,5.0,4.0,11.0,6.0,9.0,32.0,21.0,10.0,9.0,5.0,0.0
Valparaiso,05,Valparaiso,05101,315732.0,0,0.0,0.0,1.0,2.0,9.0,16.0,14.0,20.0,16.0,26.0,83.0,116.0,150.0,237.0,322.0,495.0,537.0,513.0,372.0,264.0,64.0
Valparaiso,05,Villa Alemana,05804,139310.0,0,0.0,0.0,0.0,1.0,8.0,4.0,3.0,0.0,1.0,5.0,30.0,42.0,50.0,72.0,123.0,184.0,181.0,212.0,130.0,135.0,29.0
Valparaiso,05,Vina del Mar,05109,361371.0,0,0.0,0.0,0.0,6.0,21.0,29.0,24.0,13.0,22.0,26.0,78.0,143.0,201.0,234.0,301.0,401.0,388.0,443.0,412.0,271.0,45.0
Valparaiso,05,Zapallar,05405,7994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,18.0,13.0,9.0,1.0
Valparaiso,05,Desconocido Valparaiso,,,0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,11.0,8.0,5.0,42.0,29.0,38.0,66.0,59.0,84.0,31.0
Valparaiso,05,Total,,1960170.0,0.0,0.0,2.0,4.0,15.0,77.0,112.0,109.0,93.0,109.0,161.0,379.0,648.0,1009.0,1265.0,1776.0,2638.0,2630.0,2758.0,2436.0,1870.0,361.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,9.0,15.0,25.0,15.0,19.0,25.0,4.0
Metropolitana,13,Buin,13402,109641.0,0,0.0,0.0,0.0,0.0,5.0,17.0,10.0,14.0,19.0,19.0,62.0,136.0,188.0,230.0,217.0,282.0,268.0,204.0,165.0,137.0,25.0
Metropolitana,13,Calera de Tango,13403,28525.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,19.0,32.0,36.0,69.0,70.0,75.0,55.0,76.0,29.0,5.0
Metropolitana,13,Cerrillos,13102,88956.0,0,0.0,1.0,3.0,1.0,4.0,11.0,13.0,21.0,21.0,67.0,227.0,205.0,276.0,316.0,275.0,348.0,339.0,239.0,177.0,138.0,24.0
Metropolitana,13,Cerro Navia,13103,142465.0,0,0.0,0.0,2.0,10.0,16.0,15.0,14.0,37.0,50.0,108.0,269.0,572.0,695.0,723.0,755.0,759.0,641.0,544.0,316.0,202.0,31.0
Metropolitana,13,Colina,13301,180353.0,0,0.0,1.0,3.0,7.0,28.0,15.0,26.0,17.0,24.0,36.0,134.0,371.0,538.0,609.0,613.0,606.0,419.0,337.0,245.0,144.0,31.0
Metropolitana,13,Conchali,13104,139195.0,0,0.0,0.0,2.0,2.0,17.0,14.0,19.0,40.0,74.0,133.0,381.0,633.0,713.0,665.0,646.0,650.0,559.0,460.0,322.0,227.0,30.0
Metropolitana,13,Curacavi,13503,36430.0,0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,18.0,40.0,72.0,95.0,139.0,106.0,102.0,69.0,56.0,39.0,15.0
Metropolitana,13,El Bosque,13105,172000.0,0,0.0,0.0,0.0,1.0,14.0,23.0,35.0,52.0,46.0,89.0,223.0,404.0,552.0,548.0,744.0,853.0,714.0,568.0,473.0,314.0,47.0
Metropolitana,13,El Monte,13602,40014.0,0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,16.0,40.0,74.0,142.0,101.0,127.0,127.0,151.0,100.0,82.0,5.0
Metropolitana,13,Estacion Central,13106,206792.0,0,0.0,0.0,2.0,3.0,11.0,28.0,34.0,40.0,82.0,170.0,379.0,568.0,672.0,676.0,741.0,698.0,565.0,441.0,316.0,195.0,27.0
Metropolitana,13,Huechuraba,13107,112528.0,0,0.0,1.0,0.0,5.0,21.0,10.0,19.0,21.0,34.0,57.0,201.0,373.0,500.0,451.0,420.0,392.0,285.0,304.0,167.0,116.0,10.0
