Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Metropolitana,17979.0,1151.0,1022.0,129.0,157,69.22%,2020/05/08,,,,,,,13,8125072,
O’Higgins,167.0,16.0,13.0,3.0,3,0.64%,2020/05/08,,,,,,,6,991063,
Maule,425.0,11.0,11.0,0.0,13,1.64%,2020/05/08,,,,,,,7,1131939,
Ñuble,794.0,1.0,1.0,0.0,18,3.06%,2020/05/08,,,,,,,16,511551,
Biobío,842.0,28.0,20.0,8.0,8,3.24%,2020/05/08,,,,,,,8,1663696,
Araucanía,1403.0,18.0,7.0,11.0,36,5.40%,2020/05/08,,,,,,,9,1014343,
Los Ríos,203.0,1.0,1.0,0.0,4,0.78%,2020/05/08,,,,,,,14,405835,
Los Lagos,548.0,3.0,1.0,2.0,10,2.11%,2020/05/08,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.03%,2020/05/08,,,,,,,11,107297,
Magallanes,867.0,31.0,28.0,3.0,11,3.34%,2020/05/08,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/18,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/18,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/18,,0.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/18,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/18,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/18,,0.0,1.0,,,,5,1960170,0.05101598330757026
Metropolitana,,,,,0,,2020/03/18,,22.0,174.0,,,,13,8125072,2.1415194843811847
O’Higgins,,,,,0,,2020/03/18,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/18,,2.0,11.0,,,,7,1131939,0.9717838152055897
Ñuble,,,,,0,,2020/03/18,,0.0,26.0,,,,16,511551,5.082582186331373
Biobío,,,,,0,,2020/03/18,,3.0,7.0,,,,8,1663696,0.42074994470143584
Araucanía,,,,,0,,2020/03/18,,3.0,4.0,,,,9,1014343,0.39434392508254107
Los Ríos,,,,,0,,2020/03/18,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/18,,7.0,8.0,,,,10,891440,0.8974243919949744
Aysén,,,,,0,,2020/03/18,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/18,,0.0,2.0,,,,12,178362,1.1213150783238583
Arica y Parinacota,297.0,18.0,13.0,5.0,4,1.75%,2020/05/01,,,,,,,15,252110,
Tarapacá,200.0,2.0,0.0,2.0,1,1.18%,2020/05/01,,,,,,,1,382773,
Antofagasta,589.0,43.0,37.0,6.0,7,3.46%,2020/05/01,,,,,,,2,691854,
Atacama,43.0,0.0,0.0,0.0,0,0.25%,2020/05/01,,,,,,,3,314709,
Coquimbo,77.0,1.0,0.0,1.0,0,0.45%,2020/05/01,,,,,,,4,836096,
Valparaíso,568.0,9.0,4.0,5.0,12,3.34%,2020/05/01,,,,,,,5,1960170,
Metropolitana,10516.0,891.0,812.0,79.0,114,61.83%,2020/05/01,,,,,,,13,8125072,
O’Higgins,109.0,1.0,1.0,0.0,1,0.64%,2020/05/01,,,,,,,6,991063,
Maule,394.0,1.0,1.0,0.0,13,2.32%,2020/05/01,,,,,,,7,1131939,
Ñuble,768.0,0.0,0.0,0.0,14,4.52%,2020/05/01,,,,,,,16,511551,
Biobío,729.0,2.0,0.0,2.0,7,4.29%,2020/05/01,,,,,,,8,1663696,
Araucanía,1295.0,2.0,0.0,2.0,36,7.61%,2020/05/01,,,,,,,9,1014343,
Los Ríos,189.0,0.0,0.0,0.0,4,1.11%,2020/05/01,,,,,,,14,405835,
Los Lagos,501.0,14.0,13.0,1.0,10,2.95%,2020/05/01,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.04%,2020/05/01,,,,,,,11,107297,
Magallanes,726.0,1.0,1.0,0.0,11,4.27%,2020/05/01,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/09,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/09,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/09,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/09,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/09,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/09,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/09,,3.0,9.0,,,,13,8125072,0.11076824919213024
O’Higgins,,,,,0,,2020/03/09,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/09,,1.0,4.0,,,,7,1131939,0.3533759328020326
Ñuble,,,,,0,,2020/03/09,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/09,,1.0,1.0,,,,8,1663696,0.06010713495734797
Araucanía,,,,,0,,2020/03/09,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/09,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/09,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/09,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/09,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,340.0,3.0,2.0,1.0,6,1.18%,2020/05/10,,,,,,,15,252110,
Tarapacá,520.0,35.0,28.0,7.0,1,1.80%,2020/05/10,,,,,,,1,382773,
Antofagasta,978.0,31.0,27.0,4.0,10,3.39%,2020/05/10,,,,,,,2,691854,
Atacama,124.0,7.0,7.0,0.0,0,0.43%,2020/05/10,,,,,,,3,314709,
Coquimbo,135.0,6.0,0.0,6.0,1,0.47%,2020/05/10,,,,,,,4,836096,
Valparaíso,933.0,55.0,42.0,13.0,20,3.23%,2020/05/10,,,,,,,5,1960170,
Metropolitana,20353.0,1396.0,1225.0,171.0,166,70.51%,2020/05/10,,,,,,,13,8125072,
O’Higgins,195.0,13.0,8.0,5.0,3,0.68%,2020/05/10,,,,,,,6,991063,
Maule,441.0,9.0,8.0,1.0,14,1.53%,2020/05/10,,,,,,,7,1131939,
Ñuble,812.0,11.0,8.0,3.0,18,2.81%,2020/05/10,,,,,,,16,511551,
Biobío,899.0,17.0,10.0,7.0,8,3.11%,2020/05/10,,,,,,,8,1663696,
Araucanía,1454.0,36.0,22.0,14.0,37,5.04%,2020/05/10,,,,,,,9,1014343,
Los Ríos,206.0,0.0,0.0,0.0,5,0.71%,2020/05/10,,,,,,,14,405835,
Los Lagos,575.0,16.0,10.0,6.0,10,1.99%,2020/05/10,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.03%,2020/05/10,,,,,,,11,107297,
Magallanes,893.0,12.0,9.0,3.0,13,3.09%,2020/05/10,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/23,,0.0,2.0,,,,15,252110,0.793304509936139
Tarapacá,,,,,0,,2020/03/23,,1.0,1.0,,,,1,382773,0.261251446679886
Antofagasta,,,,,0,,2020/03/23,,0.0,11.0,,,,2,691854,1.589930823555259
Atacama,,,,,0,,2020/03/23,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/23,,1.0,6.0,,,,4,836096,0.717620943049602
Valparaíso,,,,,0,,2020/03/23,,3.0,19.0,,,,5,1960170,0.9693036828438351
Metropolitana,,,,,1,,2020/03/23,,50.0,459.0,,,,13,8125072,5.649180708798642
O’Higgins,,,,,0,,2020/03/23,,0.0,8.0,,,,6,991063,0.8072140721629201
Maule,,,,,0,,2020/03/23,,3.0,28.0,,,,7,1131939,2.4736315296142286
Ñuble,,,,,0,,2020/03/23,,17.0,81.0,,,,16,511551,15.83419834972466
Biobío,,,,,0,,2020/03/23,,11.0,46.0,,,,8,1663696,2.764928208038007
Araucanía,,,,,0,,2020/03/23,,13.0,40.0,,,,9,1014343,3.9434392508254112
Los Ríos,,,,,0,,2020/03/23,,3.0,4.0,,,,14,405835,0.9856222356376361
Los Lagos,,,,,0,,2020/03/23,,10.0,33.0,,,,10,891440,3.7018756169792693
Aysén,,,,,0,,2020/03/23,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/23,,2.0,6.0,,,,12,178362,3.3639452349715744
Arica y Parinacota,359.0,8.0,7.0,1.0,7,1.04%,2020/05/13,,,,,,,15,252110,
Tarapacá,615.0,37.0,31.0,6.0,1,1.79%,2020/05/13,,,,,,,1,382773,
Antofagasta,1216.0,107.0,91.0,16.0,11,3.54%,2020/05/13,,,,,,,2,691854,
Atacama,139.0,5.0,5.0,0.0,0,0.40%,2020/05/13,,,,,,,3,314709,
Coquimbo,153.0,5.0,0.0,5.0,1,0.45%,2020/05/13,,,,,,,4,836096,
Valparaíso,1123.0,94.0,79.0,15.0,24,3.27%,2020/05/13,,,,,,,5,1960170,
Metropolitana,24965.0,2256.0,1826.0,430.0,184,72.61%,2020/05/13,,,,,,,13,8125072,
O’Higgins,248.0,24.0,18.0,6.0,4,0.72%,2020/05/13,,,,,,,6,991063,
Maule,485.0,19.0,17.0,2.0,14,1.41%,2020/05/13,,,,,,,7,1131939,
Ñuble,839.0,13.0,11.0,2.0,19,2.44%,2020/05/13,,,,,,,16,511551,
Biobío,975.0,33.0,27.0,6.0,9,2.84%,2020/05/13,,,,,,,8,1663696,
Araucanía,1495.0,13.0,9.0,4.0,39,4.35%,2020/05/13,,,,,,,9,1014343,
Los Ríos,212.0,1.0,1.0,0.0,6,0.62%,2020/05/13,,,,,,,14,405835,
Los Lagos,628.0,34.0,21.0,13.0,11,1.83%,2020/05/13,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/13,,,,,,,11,107297,
Magallanes,921.0,11.0,9.0,2.0,16,2.68%,2020/05/13,,,,,,,12,178362,
Arica y Parinacota,,,,,3,,2020/04/26,,7.0,252.0,,,,15,252110,99.95636825195352
Tarapacá,,,,,1,,2020/04/26,,13.0,156.0,,,,1,382773,40.75522568206222
Antofagasta,,,,,4,,2020/04/26,,52.0,443.0,,,,2,691854,64.0308504395436
Atacama,,,,,0,,2020/04/26,,5.0,29.0,,,,3,314709,9.214861983610255
Coquimbo,,,,,0,,2020/04/26,,0.0,73.0,,,,4,836096,8.73105480710349
Valparaíso,,,,,9,,2020/04/26,,6.0,460.0,,,,5,1960170,23.46735232148232
Metropolitana,,,,,91,,2020/04/26,,331.0,7496.0,,,,13,8125072,92.25764399380091
O’Higgins,,,,,1,,2020/04/26,,7.0,92.0,,,,6,991063,9.28296182987358
Maule,,,,,11,,2020/04/26,,4.0,354.0,,,,7,1131939,31.273770052979888
Ñuble,,,,,14,,2020/04/26,,6.0,731.0,,,,16,511551,142.89875300800898
Biobío,,,,,6,,2020/04/26,,7.0,703.0,,,,8,1663696,42.25531587501563
Araucanía,,,,,29,,2020/04/26,,13.0,1216.0,,,,9,1014343,119.8805532250925
Los Ríos,,,,,3,,2020/04/26,,1.0,178.0,,,,14,405835,43.860189485874805
Los Lagos,,,,,8,,2020/04/26,,8.0,473.0,,,,10,891440,53.06021717670286
Aysén,,,,,0,,2020/04/26,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,9,,2020/04/26,,13.0,668.0,,,,12,178362,374.51923616016865
Arica y Parinacota,368.0,5.0,5.0,0.0,7,0.93%,2020/05/15,,,,,,,15,252110,
Tarapacá,779.0,97.0,75.0,22.0,2,1.97%,2020/05/15,,,,,,,1,382773,
Antofagasta,1331.0,54.0,38.0,16.0,12,3.37%,2020/05/15,,,,,,,2,691854,
Atacama,143.0,3.0,2.0,1.0,0,0.36%,2020/05/15,,,,,,,3,314709,
Coquimbo,180.0,15.0,5.0,10.0,1,0.46%,2020/05/15,,,,,,,4,836096,
Valparaíso,1312.0,99.0,66.0,33.0,27,3.32%,2020/05/15,,,,,,,5,1960170,
Metropolitana,29276.0,2060.0,1793.0,267.0,221,74.04%,2020/05/15,,,,,,,13,8125072,
O’Higgins,323.0,28.0,22.0,6.0,5,0.82%,2020/05/15,,,,,,,6,991063,
Maule,540.0,21.0,14.0,7.0,14,1.37%,2020/05/15,,,,,,,7,1131939,
Ñuble,885.0,36.0,30.0,6.0,20,2.24%,2020/05/15,,,,,,,16,511551,
Biobío,1036.0,41.0,32.0,9.0,9,2.62%,2020/05/15,,,,,,,8,1663696,
Araucanía,1564.0,28.0,18.0,10.0,43,3.96%,2020/05/15,,,,,,,9,1014343,
Los Ríos,219.0,5.0,4.0,1.0,6,0.55%,2020/05/15,,,,,,,14,405835,
Los Lagos,641.0,8.0,6.0,2.0,11,1.62%,2020/05/15,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/15,,,,,,,11,107297,
Magallanes,937.0,2.0,2.0,0.0,16,2.37%,2020/05/15,,,,,,,12,178362,
Arica y Parinacota,308.0,1.0,1.0,0.0,4,1.57%,2020/05/03,,,,,,,15,252110,
Tarapacá,272.0,60.0,54.0,6.0,1,1.38%,2020/05/03,,,,,,,1,382773,
Antofagasta,740.0,61.0,45.0,16.0,7,3.76%,2020/05/03,,,,,,,2,691854,
Atacama,67.0,8.0,8.0,0.0,0,0.34%,2020/05/03,,,,,,,3,314709,
Coquimbo,88.0,10.0,5.0,5.0,0,0.45%,2020/05/03,,,,,,,4,836096,
Valparaíso,638.0,24.0,23.0,1.0,13,3.24%,2020/05/03,,,,,,,5,1960170,
Metropolitana,12656.0,995.0,912.0,83.0,135,64.36%,2020/05/03,,,,,,,13,8125072,
O’Higgins,125.0,5.0,4.0,1.0,3,0.64%,2020/05/03,,,,,,,6,991063,
Maule,397.0,1.0,1.0,0.0,13,2.02%,2020/05/03,,,,,,,7,1131939,
Ñuble,786.0,10.0,7.0,3.0,16,4.00%,2020/05/03,,,,,,,16,511551,
Biobío,759.0,8.0,7.0,1.0,7,3.86%,2020/05/03,,,,,,,8,1663696,
Araucanía,1328.0,14.0,14.0,0.0,36,6.75%,2020/05/03,,,,,,,9,1014343,
Los Ríos,198.0,2.0,2.0,0.0,4,1.01%,2020/05/03,,,,,,,14,405835,
Los Lagos,517.0,4.0,4.0,0.0,10,2.63%,2020/05/03,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.04%,2020/05/03,,,,,,,11,107297,
Magallanes,777.0,25.0,25.0,0.0,11,3.95%,2020/05/03,,,,,,,12,178362,
Arica y Parinacota,363.0,4.0,4.0,0.0,7,0.98%,2020/05/14,,,,,,,15,252110,
Tarapacá,682.0,67.0,51.0,16.0,1,1.84%,2020/05/14,,,,,,,1,382773,
Antofagasta,1277.0,61.0,48.0,13.0,11,3.45%,2020/05/14,,,,,,,2,691854,
Atacama,140.0,1.0,0.0,1.0,0,0.38%,2020/05/14,,,,,,,3,314709,
Coquimbo,165.0,12.0,3.0,9.0,1,0.45%,2020/05/14,,,,,,,4,836096,
Valparaíso,1213.0,90.0,69.0,21.0,25,3.27%,2020/05/14,,,,,,,5,1960170,
Metropolitana,27216.0,2251.0,1994.0,257.0,202,73.48%,2020/05/14,,,,,,,13,8125072,
O’Higgins,295.0,47.0,33.0,14.0,4,0.80%,2020/05/14,,,,,,,6,991063,
Maule,519.0,34.0,24.0,10.0,14,1.40%,2020/05/14,,,,,,,7,1131939,
Ñuble,849.0,10.0,10.0,0.0,20,2.29%,2020/05/14,,,,,,,16,511551,
Biobío,995.0,20.0,14.0,6.0,9,2.69%,2020/05/14,,,,,,,8,1663696,
Araucanía,1536.0,41.0,36.0,5.0,41,4.15%,2020/05/14,,,,,,,9,1014343,
Los Ríos,214.0,2.0,2.0,0.0,6,0.58%,2020/05/14,,,,,,,14,405835,
Los Lagos,633.0,5.0,0.0,5.0,11,1.71%,2020/05/14,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/14,,,,,,,11,107297,
Magallanes,935.0,14.0,13.0,1.0,16,2.52%,2020/05/14,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/29,,1.0,4.0,,,,15,252110,1.586609019872278
Tarapacá,,,,,0,,2020/03/29,,1.0,6.0,,,,1,382773,1.5675086800793159
Antofagasta,,,,,0,,2020/03/29,,2.0,27.0,,,,2,691854,3.9025574759992714
Atacama,,,,,0,,2020/03/29,,1.0,2.0,,,,3,314709,0.6355077230076038
Coquimbo,,,,,0,,2020/03/29,,3.0,18.0,,,,4,836096,2.152862829148806
Valparaíso,,,,,0,,2020/03/29,,9.0,80.0,,,,5,1960170,4.081278664605621
Metropolitana,,,,,3,,2020/03/29,,83.0,1167.0,,,,13,8125072,14.362949645246221
O’Higgins,,,,,0,,2020/03/29,,1.0,21.0,,,,6,991063,2.118936939427665
Maule,,,,,0,,2020/03/29,,5.0,42.0,,,,7,1131939,3.7104472944213422
Ñuble,,,,,0,,2020/03/29,,25.0,197.0,,,,16,511551,38.510334257972325
Biobío,,,,,2,,2020/03/29,,34.0,185.0,,,,8,1663696,11.119819967109375
Araucanía,,,,,2,,2020/03/29,,28.0,205.0,,,,9,1014343,20.210126160480232
Los Ríos,,,,,0,,2020/03/29,,13.0,40.0,,,,14,405835,9.85622235637636
Los Lagos,,,,,0,,2020/03/29,,11.0,104.0,,,,10,891440,11.666517095934667
Aysén,,,,,0,,2020/03/29,,0.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/29,,13.0,39.0,,,,12,178362,21.865644027315234
Arica y Parinacota,654.0,18.0,18.0,0.0,0,0.60%,2020/06/02,8.0,,,,,,15,252110,
Tarapacá,2594.0,68.0,60.0,8.0,0,2.39%,2020/06/02,23.0,,,,,,1,382773,
Antofagasta,2649.0,64.0,58.0,6.0,0,2.44%,2020/06/02,34.0,,,,,,2,691854,
Atacama,236.0,4.0,3.0,1.0,0,0.22%,2020/06/02,0.0,,,,,,3,314709,
Coquimbo,687.0,19.0,17.0,2.0,0,0.63%,2020/06/02,2.0,,,,,,4,836096,
Valparaíso,3595.0,247.0,227.0,20.0,0,3.31%,2020/06/02,72.0,,,,,,5,1960170,
Metropolitana,88194.0,2955.0,2698.0,257.0,0,81.15%,2020/06/02,894.0,,,,,,13,8125072,
O’Higgins,843.0,30.0,24.0,6.0,0,0.78%,2020/06/02,18.0,,,,,,6,991063,
Maule,1381.0,40.0,36.0,4.0,0,1.27%,2020/06/02,17.0,,,,,,7,1131939,
Ñuble,1290.0,0.0,0.0,0.0,0,1.19%,2020/06/02,23.0,,,,,,16,511551,
Biobío,2082.0,12.0,12.0,0.0,0,1.92%,2020/06/02,11.0,,,,,,8,1663696,
Araucanía,2141.0,30.0,21.0,9.0,0,1.97%,2020/06/02,47.0,,,,,,9,1014343,
Los Ríos,368.0,5.0,5.0,0.0,0,0.34%,2020/06/02,7.0,,,,,,14,405835,
Los Lagos,894.0,31.0,24.0,7.0,0,0.82%,2020/06/02,13.0,,,,,,10,891440,
Aysén,18.0,1.0,0.0,1.0,0,0.02%,2020/06/02,0.0,,,,,,11,107297,
Magallanes,1060.0,3.0,3.0,0.0,0,0.98%,2020/06/02,19.0,,,,,,12,178362,
Arica y Parinacota,588.0,6.0,4.0,2.0,7,0.62%,2020/05/30,,,,,,,15,252110,
Tarapacá,2250.0,157.0,124.0,33.0,18,2.37%,2020/05/30,,,,,,,1,382773,
Antofagasta,2429.0,111.0,90.0,21.0,29,2.56%,2020/05/30,,,,,,,2,691854,
Atacama,215.0,8.0,8.0,0.0,0,0.23%,2020/05/30,,,,,,,3,314709,
Coquimbo,597.0,60.0,52.0,8.0,2,0.63%,2020/05/30,,,,,,,4,836096,
Valparaíso,3037.0,195.0,169.0,26.0,63,3.20%,2020/05/30,,,,,,,5,1960170,
Metropolitana,76251.0,3341.0,3035.0,306.0,728,80.38%,2020/05/30,,,,,,,13,8125072,
O’Higgins,756.0,11.0,11.0,0.0,16,0.80%,2020/05/30,,,,,,,6,991063,
Maule,1256.0,76.0,59.0,17.0,15,1.32%,2020/05/30,,,,,,,7,1131939,
Ñuble,1256.0,14.0,7.0,7.0,23,1.32%,2020/05/30,,,,,,,16,511551,
Biobío,1888.0,110.0,80.0,30.0,11,1.99%,2020/05/30,,,,,,,8,1663696,
Araucanía,2060.0,71.0,47.0,24.0,47,2.17%,2020/05/30,,,,,,,9,1014343,
Los Ríos,345.0,15.0,12.0,3.0,6,0.36%,2020/05/30,,,,,,,14,405835,
Los Lagos,860.0,38.0,33.0,5.0,13,0.91%,2020/05/30,,,,,,,10,891440,
Aysén,16.0,0.0,0.0,0.0,0,0.02%,2020/05/30,,,,,,,11,107297,
Magallanes,1054.0,7.0,5.0,2.0,19,1.11%,2020/05/30,,,,,,,12,178362,
Arica y Parinacota,619.0,31.0,25.0,6.0,7,0.62%,2020/05/31,,,,,,,15,252110,
Tarapacá,2361.0,111.0,86.0,25.0,21,2.37%,2020/05/31,,,,,,,1,382773,
Antofagasta,2510.0,81.0,61.0,20.0,31,2.52%,2020/05/31,,,,,,,2,691854,
Atacama,218.0,3.0,3.0,0.0,0,0.22%,2020/05/31,,,,,,,3,314709,
Coquimbo,628.0,31.0,23.0,8.0,2,0.63%,2020/05/31,,,,,,,4,836096,
Valparaíso,3167.0,130.0,117.0,13.0,66,3.18%,2020/05/31,,,,,,,5,1960170,
Metropolitana,80504.0,4253.0,3964.0,289.0,775,80.76%,2020/05/31,,,,,,,13,8125072,
O’Higgins,785.0,29.0,27.0,2.0,18,0.79%,2020/05/31,,,,,,,6,991063,
Maule,1297.0,41.0,30.0,11.0,15,1.30%,2020/05/31,,,,,,,7,1131939,
Ñuble,1257.0,1.0,1.0,0.0,23,1.26%,2020/05/31,,,,,,,16,511551,
Biobío,1979.0,91.0,76.0,15.0,11,1.99%,2020/05/31,,,,,,,8,1663696,
Araucanía,2071.0,11.0,11.0,0.0,47,2.08%,2020/05/31,,,,,,,9,1014343,
Los Ríos,356.0,11.0,7.0,4.0,6,0.36%,2020/05/31,,,,,,,14,405835,
Los Lagos,863.0,3.0,3.0,0.0,13,0.87%,2020/05/31,,,,,,,10,891440,
Aysén,17.0,1.0,1.0,0.0,0,0.02%,2020/05/31,,,,,,,11,107297,
Magallanes,1056.0,2.0,2.0,0.0,19,1.06%,2020/05/31,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/04/11,,20.0,107.0,,,,15,252110,42.44179128158344
Tarapacá,,,,,0,,2020/04/11,,3.0,38.0,,,,1,382773,9.927554973835667
Antofagasta,,,,,1,,2020/04/11,,7.0,117.0,,,,2,691854,16.911082395996843
Atacama,,,,,0,,2020/04/11,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/11,,3.0,64.0,,,,4,836096,7.654623392529087
Valparaíso,,,,,2,,2020/04/11,,7.0,248.0,,,,5,1960170,12.651963860277425
Metropolitana,,,,,32,,2020/04/11,,255.0,3448.0,,,,13,8125072,42.43654702382945
O’Higgins,,,,,0,,2020/04/11,,1.0,45.0,,,,6,991063,4.540579155916426
Maule,,,,,3,,2020/04/11,,3.0,134.0,,,,7,1131939,11.838093748868092
Ñuble,,,,,6,,2020/04/11,,17.0,606.0,,,,16,511551,118.46326172756969
Biobío,,,,,2,,2020/04/11,,16.0,490.0,,,,8,1663696,29.452496129100506
Araucanía,,,,,17,,2020/04/11,,27.0,739.0,,,,9,1014343,72.85504015899947
Los Ríos,,,,,2,,2020/04/11,,6.0,130.0,,,,14,405835,32.032722658223165
Los Lagos,,,,,5,,2020/04/11,,15.0,364.0,,,,10,891440,40.832809835771336
Aysén,,,,,0,,2020/04/11,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,3,,2020/04/11,,46.0,377.0,,,,12,178362,211.36789226404727
Arica y Parinacota,,,,,2,,2020/04/21,,9.0,170.0,,,,15,252110,67.43088334457181
Tarapacá,,,,,0,,2020/04/21,,11.0,104.0,,,,1,382773,27.170150454708143
Antofagasta,,,,,1,,2020/04/21,,28.0,291.0,,,,2,691854,42.060897241325485
Atacama,,,,,0,,2020/04/21,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/21,,0.0,69.0,,,,4,836096,8.252640845070422
Valparaíso,,,,,6,,2020/04/21,,15.0,403.0,,,,5,1960170,20.559441272950814
Metropolitana,,,,,69,,2020/04/21,,145.0,5788.0,,,,13,8125072,71.23629181378331
O’Higgins,,,,,1,,2020/04/21,,1.0,57.0,,,,6,991063,5.7514002641608055
Maule,,,,,10,,2020/04/21,,12.0,316.0,,,,7,1131939,27.916698691360576
Ñuble,,,,,13,,2020/04/21,,7.0,694.0,,,,16,511551,135.66584758899896
Biobío,,,,,4,,2020/04/21,,10.0,636.0,,,,8,1663696,38.228137832873315
Araucanía,,,,,25,,2020/04/21,,47.0,1092.0,,,,9,1014343,107.65589154753373
Los Ríos,,,,,3,,2020/04/21,,5.0,167.0,,,,14,405835,41.1497283378713
Los Lagos,,,,,6,,2020/04/21,,8.0,432.0,,,,10,891440,48.46091716772862
Aysén,,,,,0,,2020/04/21,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,7,,2020/04/21,,27.0,593.0,,,,12,178362,332.46992072302396
Arica y Parinacota,,,,,0,,2020/03/22,,1.0,2.0,,,,15,252110,0.793304509936139
Tarapacá,,,,,0,,2020/03/22,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/22,,1.0,11.0,,,,2,691854,1.589930823555259
Atacama,,,,,0,,2020/03/22,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/22,,2.0,5.0,,,,4,836096,0.598017452541335
Valparaíso,,,,,0,,2020/03/22,,3.0,16.0,,,,5,1960170,0.8162557329211242
Metropolitana,,,,,1,,2020/03/22,,50.0,409.0,,,,13,8125072,5.033801546620141
O’Higgins,,,,,0,,2020/03/22,,1.0,8.0,,,,6,991063,0.8072140721629201
Maule,,,,,0,,2020/03/22,,10.0,25.0,,,,7,1131939,2.208599580012704
Ñuble,,,,,0,,2020/03/22,,6.0,64.0,,,,16,511551,12.510971535584916
Biobío,,,,,0,,2020/03/22,,5.0,35.0,,,,8,1663696,2.103749723507179
Araucanía,,,,,0,,2020/03/22,,12.0,27.0,,,,9,1014343,2.6618214943071523
Los Ríos,,,,,0,,2020/03/22,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/22,,3.0,23.0,,,,10,891440,2.5800951269855514
Aysén,,,,,0,,2020/03/22,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/22,,1.0,4.0,,,,12,178362,2.2426301566477167
Arica y Parinacota,,,,,0,,2020/04/02,,1.0,7.0,,,,15,252110,2.7765657847764866
Tarapacá,,,,,0,,2020/04/02,,2.0,12.0,,,,1,382773,3.1350173601586317
Antofagasta,,,,,0,,2020/04/02,,8.0,47.0,,,,2,691854,6.793340791554287
Atacama,,,,,0,,2020/04/02,,0.0,3.0,,,,3,314709,0.9532615845114057
Coquimbo,,,,,0,,2020/04/02,,4.0,34.0,,,,4,836096,4.066518677281078
Valparaíso,,,,,1,,2020/04/02,,20.0,156.0,,,,5,1960170,7.958493395980962
Metropolitana,,,,,6,,2020/04/02,,115.0,1636.0,,,,13,8125072,20.135206186480563
O’Higgins,,,,,0,,2020/04/02,,6.0,32.0,,,,6,991063,3.2288562886516803
